"","Sable_geo_df_binary.LONGITUDE","Sable_geo_df_binary.LATITUDE","data"
"165",-7.7269,52.95112,0
"166",9.60158999999999,52.95968,0
"167",-6.75962000000001,52.96798,0
"168",-6.00036,52.66205,0
"169",-7.31766999999999,52.66302,0
"170",0.640289999999993,52.66525,0
"171",-7.25130999999999,52.67723,0
"172",9.92965000000001,52.97824,0
"173",-9.05223000000001,52.97946,0
"174",9.57968,52.98715,0
"175",12.71741,53.69088,0
"176",12.77539,53.701,0
"177",-7.22982999999999,52.70032,0
"178",-7.67684,52.99623,0
"179",-7.68692999999999,53.00043,0
"180",-6.80698000000001,53.01191,0
"181",-7.29857000000001,52.70306,0
"182",9.50727000000001,52.70541,0
"183",-6.78964999999999,53.02729,0
"184",-9.10674,53.03883,0
"185",10.05858,53.0564,0
"186",13.49282,53.96798,0
"187",13.41251,53.99926,0
"188",9.33457999999999,52.74322,0
"189",9.28505999999999,52.74544,0
"190",-7.01423,53.0644,0
"191",-7.04886999999999,53.06807,0
"192",-7.18251000000001,53.07411,0
"193",13.36211,54.03126,0
"194",13.65223,54.06984,0
"195",9.42202,52.74851,0
"196",-5.94887,52.77352,0
"197",9.31406000000001,52.7832,0
"198",11.16338,53.07859,0
"199",-7.28964999999999,53.08573,0
"200",13.72795,54.10774,0
"201",-7.43946,52.80378,0
"202",-6.27044000000001,52.81904,0
"203",9.88263000000001,53.08695,0
"204",13.74426,54.16095,0
"205",-7.44834,52.82052,0
"206",8.64302000000001,52.8226,0
"207",8.51013,52.82759,0
"208",-9.00806,53.10965,0
"209",-9.09779,53.1128,0
"210",13.68417,54.16619,0
"211",-7.79268999999999,52.82995,0
"212",11.02671,53.11768,0
"213",13.73704,54.18683,0
"214",-6.31900999999999,52.83044,0
"215",-7.66673,52.84725,0
"216",-7.58250000000001,52.85505,0
"217",-7.55579,52.85985,0
"218",-7.56281999999999,52.86159,0
"219",-9.13549,53.12312,0
"220",-9.09126000000001,53.13122,0
"221",10.15223,53.15126,0
"222",13.96249,54.21945,0
"223",14.12436,54.23887,0
"224",14.09161,54.23909,0
"225",-7.63245000000001,52.86506,0
"226",-7.72732999999999,52.86668,0
"227",-9.14921000000001,53.1623,0
"228",-9.19951,53.24052,0
"229",13.97895,54.24728,0
"230",8.70357999999999,52.87044,0
"231",-9.11555999999999,52.90935,0
"232",-9.09872999999999,53.24154,0
"233",-9.15797000000001,53.26067,0
"234",-9.26840000000001,53.29108,0
"235",14.13036,54.26447,0
"236",14.44596,54.34741,0
"237",14.3135,54.36785,0
"238",-9.18466000000001,52.9124,0
"239",10.50569,52.91764,0
"240",-9.35160999999999,53.30546,0
"241",11.28217,53.38996,0
"242",14.45165,54.37188,0
"243",14.52045,54.41248,0
"244",9.32155,52.57785,0
"245",-5.69158999999999,52.58611,0
"246",-6.57518999999999,52.58975,0
"247",9.53872000000001,52.92535,0
"248",11.50511,53.43853,0
"249",12.4753,53.51373,0
"250",12.56805,53.59849,0
"251",-7.07474999999999,52.59102,0
"252",9.58541,52.92719,0
"253",11.82008,53.59945,0
"254",14.43362,54.42203,0
"255",-5.79995,52.6156,0
"256",-7.15602999999999,52.61723,0
"257",-9.01517999999999,52.93792,0
"258",-7.75846999999999,52.94564,0
"259",12.55088,53.63171,0
"260",-1.81639000000001,51.9651,0
"261",6.0729,51.96751,0
"262",7.59491,52.10449,0
"263",-3.76527999999999,52.12422,0
"264",-3.70771999999999,52.12743,0
"265",-0.641739999999999,52.22079,0
"266",-6.53819999999999,52.22585,0
"267",-3.96324000000001,52.22817,0
"268",-3.95318,52.29694,0
"269",5.22003000000001,52.30068,0
"270",0.20447999999999,52.30192,0
"271",-4.18522999999999,52.30687,0
"272",6.42044999999999,52.47405,0
"273",9.85436000000001,52.47964,0
"274",-0.75609,51.25118,0
"275",-0.712310000000002,51.25411,0
"276",0.961810000000014,51.26868,0
"277",-0.632339999999999,51.27932,0
"278",1.55840000000001,51.62685,0
"279",1.41034999999999,51.63066,0
"280",3.72763,51.63393,0
"281",-1.56645,51.85014,0
"282",-2.52716000000001,51.85084,0
"283",-1.53634,51.85764,0
"284",5.99675999999999,51.96998,0
"285",-6.22483,52.13259,0
"286",7.53628,52.13382,0
"287",-4.62526,52.23251,0
"288",-4.75666000000001,52.23719,0
"289",7.04292000000001,52.24198,0
"290",6.05653000000001,52.33644,0
"291",0.12921,52.33775,0
"292",-6.48104000000001,52.33939,0
"293",-5.62568999999999,52.48213,0
"294",-6.81557000000001,52.48323,0
"295",-1.09218999999999,51.3601,0
"296",-0.838940000000008,51.36614,0
"297",-0.858229999999992,51.36692,0
"298",-1.10252,51.37,0
"299",-4.34747999999999,51.64349,0
"300",-0.399519999999995,51.85835,0
"301",-1.53720000000001,51.8588,0
"302",-1.62842000000001,51.86465,0
"303",3.49284,51.97438,0
"304",-3.17124999999999,51.97489,0
"305",-3.76523,52.14202,0
"306",4.71809999999999,52.14237,0
"307",-0.523110000000003,52.14373,0
"308",-4.05132,52.24511,0
"309",-3.97862000000001,52.24609,0
"310",-6.81509,52.34173,0
"311",-3.64879999999999,52.3518,0
"312",-4.00022999999999,52.36152,0
"313",-7.05468999999999,52.56732,0
"314",7.60617999999999,52.56748,0
"315",-0.937939999999998,51.39448,0
"316",-1.09303,51.41731,0
"317",-1.17362,51.42963,0
"318",-1.87208000000001,51.64838,0
"319",5.93886000000001,51.86653,0
"320",-4.10442,51.86801,0
"321",7.41454999999999,51.97902,0
